Name,Address,Operation,Homepage,Type,Rate,Img
코다리밥상 송촌점,대전 대덕구 송촌북로36번길 24 2층 (우)34408,화~일 10:30 ~ 21:30,https://place.map.kakao.com/27589279,"해물,생선",3.6,//t1.kakaocdn.net/thumb/T800x0.q50/?fname=http%3A%2F%2Ft1.kakaocdn.net%2Fmystore%2F328D01BE035E4C0CBB1AB2F7041DEF88
황기왕짬뽕전문점,대전 대덕구 중리북로37번길 65 1층 (우)34390,화~일 11:00 ~ 19:00,https://place.map.kakao.com/11314053,중국요리,4.5,//t1.kakaocdn.net/thumb/T800x0.q50/?fname=http%3A%2F%2Ft1.daumcdn.net%2Fplace%2F48897B55AFD4404788835F8D231DBEB6
또또포차,대전 대덕구 중리로 11 1층 (우)34394,매일 16:30 ~ 02:00,https://place.map.kakao.com/498240552,실내포장마차,4.7,//t1.kakaocdn.net/thumb/T800x0.q50/?fname=http%3A%2F%2Ft1.kakaocdn.net%2Ffiy_reboot%2Fplace%2F25472A19DC3945A0B782469791E08CA4
또랑,대전 대덕구 계족로 550 (우)34422,매일 11:00 ~ 22:00,https://place.map.kakao.com/8847269,갈비,2.4,//t1.kakaocdn.net/thumb/T800x0.q50/?fname=http%3A%2F%2Ft1.kakaocdn.net%2Ffiy_reboot%2Fplace%2F33EC8409B498419CB830C47CDAD6D157
유가옥설렁탕 본점,대전 대덕구 한밭대로 1161 (우)34395,매일 00:00 ~ 24:00,https://place.map.kakao.com/9362442,설렁탕,4.3,//t1.kakaocdn.net/thumb/T800x0.q50/?fname=http%3A%2F%2Ft1.kakaocdn.net%2Ffiy_reboot%2Fplace%2F27D644D80A034AB2817370AE2F2B1628
명품진한우,대전 대덕구 한밭대로1006번길 105 2층 (우)34437,매일 11:30 ~ 22:00,https://place.map.kakao.com/27214337,"육류,고기",3.4,//t1.kakaocdn.net/thumb/T800x0.q50/?fname=http%3A%2F%2Ft1.daumcdn.net%2Fplace%2FB67DB32AE2454E6E881F8EE0F6DA9C24
필짬뽕,대전 대덕구 한남로137번길 43 (우)34445,화~일 10:30 ~ 19:10,https://place.map.kakao.com/1293523836,중국요리,4.6,//t1.kakaocdn.net/thumb/T800x0.q50/?fname=http%3A%2F%2Ft1.daumcdn.net%2Flocalfiy%2FD0C85F560E7941858A4D2DAB692FC4A0
금강옥천올갱이,대전 대덕구 동춘당로15번길 90 (우)34421,매일 08:00 ~ 21:00,https://place.map.kakao.com/1161507735,국밥,3.2,//t1.kakaocdn.net/thumb/T800x0.q50/?fname=http%3A%2F%2Ft1.daumcdn.net%2Fplace%2F4DE63723F9954FD9ADE7237457AB89AE
영화반점,대전 대덕구 신탄진동로23번길 46 (우)34310,월~토 11:00 ~ 20:00,https://place.map.kakao.com/9313876,중국요리,3.5,//t1.kakaocdn.net/thumb/T800x0.q50/?fname=http%3A%2F%2Ft1.daumcdn.net%2Fplace%2F647042FAC3024D7A9E7A3E1F21E1C0E3
계족산산골보리밥,대전 대덕구 장동로 223-10 1층 (우)34345,매일 11:00 ~ 19:00 (재료 소진 시 조기 마감),https://place.map.kakao.com/13568396,한식,4.8,//t1.kakaocdn.net/thumb/T800x0.q50/?fname=http%3A%2F%2Ft1.kakaocdn.net%2Fmystore%2FD9A2B9A97820418297949B0F7631E97F
구들마루 오정점,대전 대덕구 대전로 1009 1층 (우)34445,"월,수,목,금,토,일 11:00 ~ 22:00",https://place.map.kakao.com/8278157,"곱창,막창",3.2,//t1.kakaocdn.net/thumb/T800x0.q50/?fname=http%3A%2F%2Ft1.daumcdn.net%2Fplace%2F03B795819FD64C22A35B1A10A2469FA2
계족산풍천가,대전 대덕구 신탄진로115번길 17 (우)34351,매일 11:30 ~ 22:00,https://place.map.kakao.com/576805570,장어,5.0,//t1.kakaocdn.net/thumb/T800x0.q50/?fname=http%3A%2F%2Ft1.kakaocdn.net%2Fmystore%2F82A50E72915F40B8ABFD2ACB6A08D8C7
계림가든,대전 대덕구 신탄진로36번길 127 (우)34353,매일 11:00 ~ 21:00,https://place.map.kakao.com/10158687,오리,3.7,//t1.kakaocdn.net/thumb/T800x0.q50/?fname=http%3A%2F%2Ft1.kakaocdn.net%2Ffiy_reboot%2Fplace%2FE05D4F3C6002434BBA293D065589E35D
대덕식당,대전 대덕구 신탄진로738번길 1 (우)34336,매일 17:00 ~ 21:00,https://place.map.kakao.com/16797796,"육류,고기",5.0,//t1.kakaocdn.net/thumb/T800x0.q50/?fname=http%3A%2F%2Ft1.daumcdn.net%2Fplace%2F37F6BE3F57AA45A09DD0CC1FADD2C7CA
